id,text,political,racial/ethnic,religious,gender/sexual,other
spa_acb6f209d61e82384053b1825e8ebd99,anda si es la feminista amarna miller,0,0,0,0,0
spa_9a6a7717ba680064e598349934db4c1b,"antes de llegar a pedirle permiso a un indigena, va a tener que ponerse de rodillas y chuparme un huevo!!",0,1,0,0,0
spa_36914af339efb1fb491cec6a90c129f1,antes debe agradecer que no pusiste fotos con su cara de indigena,0,1,0,0,0
spa_e27acc9b7dc29156480f73e207b5924c,antes un pobre pata rajada en pocos anos un adinerado indigena,0,0,0,0,0
spa_c859f47f6ce998565a90957f5bca3cdc,apertura del mercado indio este 24 de diciembre. abrimos hilo,0,0,0,0,0
spa_f2b4dd4f690ddcb4319b0144e70b93ad,"aqui estoy cenando en un indio, porque le dijimos a la productora local que hoy queriamos cenar algo mas ""occidental""",0,0,0,0,0
spa_46234adb30ac122cff2a642fef2c6cd2,"argentina 2025.
los tiempos del .
emperador judio
en argentina.",1,1,0,0,0
spa_4b753fef95bff32bef026fc583a1b06d,"argentina vs india 1-3
india vs argentina 3-1",0,0,0,0,0
spa_5f8e856f816ebbc416e704daf22610cb,"arooo, estoy certificado! y no soy indigena.",0,1,0,0,0
spa_36bd0d5edaedf209597c153d9cb7224a,asi o mas claro el capital judio invertido en el soccer espanol? la hipocresia.,0,0,0,0,0
spa_7548a0e8f3f7fb2f89054b167b575547,"asi se explica, son la pareja corrupta de moda",1,0,0,0,1
spa_f50b57cd95e3b0a6249a41b49b3560bb,"asumo que quiere abortar, el te de oregano sirve para eso",1,0,0,0,1
spa_2094c71ea0994f7d140c8fd84f096c02,ataca a la cuenta de la indigena,0,0,0,0,0
spa_cc7c4a85e1aad809887338a6120cbb0e,"atala a una silla y dile ""el judio es el culpable""",1,1,0,0,0
spa_e31083f9404e12ea935b78850b9f6248,aterriza en caracas el primer grupo de migrantes venezolanos deportados de estados unidos,0,0,0,0,0
spa_51042db28f5bd18d1a8858066ac2c7bb,aun me pueden abortar despues de 17 anos de nacida?,0,0,0,0,0
spa_fc4d4a50db637c0210fbac73fd5a81ef,"australia england
pakistan india",0,0,0,0,0
spa_d5924a0bebe6353535a9f68f650cd8ae,"avia,avia,lo mas indigena que lei",0,0,0,0,0
spa_2f59ce60119a92178b007eb603d845d6,"banquero que tu salvaste, indigena traidor de tu sangre.",0,1,0,0,0
spa_aca0fb8351c50fb25a152b4b2b7db070,basicamente la gestapo llevandose a un judio muy aleman mucho aleman,0,1,0,0,0
spa_60a439ede1c5c1cf0b1acf84e9db65cb,basura beata y franquista corrupta. muerte al estado fascista nacionalcatolicista de espanistan cagona.,1,0,0,0,0
spa_fcc00874b0d9090da3aa4431457b9b32,"bazar narco indigena no se hable mas ,",0,1,0,0,0
spa_2935e2a46a699a1e35eddbd368299b63,benito el clarinetista judio?,0,0,0,0,0
spa_7aa9ebc6f21d9d6fb7858e5e22600633,bisco es indigena y nadie me puede decir lo contrario,0,0,0,0,0
spa_a6fd12db455027000cf804695d3b817d,"blinken que casualmente es judio, a quien va a favorecer",0,0,0,0,0
spa_801b9e720682d833591cfe3c01d8d51b,bloch tambien por ser judio.,0,1,0,0,0
spa_2369b3c1c738eb3a22f4c8cb2b7ae4ac,"brava!
madrid satrapia corrupta",1,0,0,0,0
spa_01c0efa33c9c1a164c0f43782e6ad6a4,bravo alpha tango india sierra tango india sierra,0,0,0,0,0
spa_6c62dda10c9d313af753aaacd118d3fd,"bro, yo tenia un amigo que era color indigena y el pibe se autodominaba re nazi y era re racista con las ersonas morenas bruh",1,1,0,0,0
spa_ca5d76e7a12168e01b62c8a48fa794d9,bruja corrupta y coimera!!!!,1,0,0,0,1
spa_3a9904ac47067ef2b60c9725576059f8,buen catalan y buen judio.,0,0,0,0,0
spa_e11d49b7c4dcf9efb296acc6ef83fee8,buena feminista pero mal estribillo,0,0,0,0,0
spa_2ea5eaaa8e7e9d4a05c3945089ee77ef,"bueno, tambien la onu promueve que abortar es salud!.",0,0,0,0,0
spa_be37bc371b9f6b1835ea48acf08ed3c8,cabloco: biracial de indigena e brankkko,0,0,0,0,0
spa_80b67a48ab01d57c378518009d8ada19,cada dia mas loquita la corrupta de ida.,1,0,0,0,1
spa_c2eee50feec9471258e1ea1b56f59d02,cada vez que ustedes endiosan al indio solari yo me acuerdo de como se comporto cuando mataron a walter bulacio.,0,0,0,0,0
spa_447bc65320669c5d0e3d69f919c2b1ac,cambia la palabra hombre por judio,0,0,0,0,0
spa_cd66c422d05d36c35c6e04ea8d5df50b,carcel para la genocida corrupta y conseguidora de mordidas para su delincuente confeso,1,0,0,0,1
spa_86a17f30a65d6504455538caadf3c94d,"cerda, zorra, guarra, puta",0,0,0,1,1
spa_eafad51c569e9916de6f0b2d9b02198d,cerra el orto judio hijo de mil puta,1,1,1,0,0
spa_8181553b575c50133c45e4bba0f7dee7,"china ""en 5 dias tienen 90 ultracomputadoras advance en india""",0,0,0,0,0
spa_45f5379914d827207824edf7a923be2d,"chorra
chorra
chorra corrupta chorra",1,0,0,0,1
spa_6547dedb9177bca0bb6dc09aa8f90478,chupp. tu chal india,0,0,0,0,0
spa_ac238989625a4c923bdd3c06d6de169d,"cierto, para ellos wasp > europeo nordico protestante > irlandes > italiano > resto de los que ya somos directamente razas inferiores y conflictivas.",0,1,0,0,0
spa_1050a3490d7d10d4ed77fc048f7cbddb,"claro, chilenos. y tu eres indigena?",0,0,0,0,0
spa_3da8efcb15b2ed579b63dbac37dab731,"claro, por que indigena es usar taparrabos",0,1,0,0,0
spa_889862a71b924f676bdf97f829c06a59,cogido por el indigena a mamar,0,1,1,0,0
spa_dbc96acaf4cd4bd18ddb39ae6f567618,"como encontras a un judio en la estacion?
es el que llora antes de subir al tren",1,1,1,0,0
spa_5b6d80d4dea2b88125c546386c46f6e1,como la condenada delincuente mas corrupta,1,0,0,0,1
spa_ab805052957d94c038f45a81c093e7ee,como me gusta el himno de la guardia indigena.,0,0,0,0,0
spa_c2934dcd610fa22e9b7ce0cde42907d7,como me vas a chocar asi indigena de mierda,0,1,0,0,0
spa_81ea63d53054ff112ffde6dc7abe925b,como que nathaniel es judio,0,0,0,0,0
spa_c4570b403276e61c79ec70f3030e71a1,como que puedo hacer materias del ultimo ano? jajaja no quiero abortar,0,0,0,0,0
spa_bb5b9b6868e853ab6ffefe74f2d57f96,"como que ser judio, les traera recuerdos muy malos",0,0,0,0,0
spa_eddfde8a5f2a020c69ebe754c32b805d,como sabia tanto el indigena sin ir a clase?,0,0,0,0,0
spa_88e950568c5c35409cdca77a279ff268,"como se descuiden los sirios, netanyahu les coloca en damasco un alcalde judio.",1,1,1,0,0
spa_161445589b2471331ce67fefbc734d7c,como si la corrupcion nacio en esa epoca la corrupcion viene desde la independencia bruto,1,0,0,0,0
spa_d99cf47a7ef3784a4ce54072289c5f84,con 24 semanas jodido abortar con pastillas,0,0,0,0,0
spa_6db40f6bb0232802021df935037e626c,con dos hijos a los que tiene abandonados el perro judio este,1,1,0,0,0
spa_e141e9b51f777ee32cbb44f5ca255508,"con el bajo nivel de sodio y aumento de argumentos del afro-indigena, no creo que el covid se le acerque",0,1,0,0,0
spa_0b309a586927bc65d93d889e555063a0,con la corrupcion en pleno,0,0,0,0,0
spa_0f416ad13ab46a002ad05d8dc8884bb2,con maestria y doctorado en corrupcion.,1,0,0,0,1
spa_c6fdc4fa89413dfd126bb32cacac5591,con un palo que va a querer pelear el indigena jajajaja,0,1,0,0,0
spa_fed248a467f4c83175822fea98c4c424,contestame al wasak zorra,0,0,1,0,1
spa_cffe02a715a43b7330c5838e8a770c74,copy paste revelan que schalper y la iglesia presentaron mismo escrito contra aborto en 3 causales,0,0,0,0,0
spa_2d63ce360583f7636173eedde207c258,corrupcion 2021 corrupcion 2022.,0,0,0,0,0
spa_f7a4779e71b7e6ecc4c549b90cda1b24,"corrupcion o justicia, hdps!!!!",1,0,0,0,0
spa_e6c34257175f7e73dcb1c77aac297ac1,"corrupcion y mas corrupcion, son los resultados de este gobierno",1,0,0,0,0
spa_7096da4e5922a8a7e8086ced65552a3d,corrupta y dictadora es la que tiene a su lado,1,0,0,0,1
spa_1bffa40ace6924ea93b7103c5d826220,cortar dedos de la corrupcion.,1,0,0,0,0
spa_60055637a9bd96d3ba7a0dff34685184,"creo que he sido muy autoritaria, abortar mision, abortar mision",0,0,0,0,0
spa_a976977c99bad1fbb6c0bfefb8493f6e,"crudo analisis del indio, yo agregaria vende patria",1,1,0,0,0
spa_357cbda8231bdd1a10c185e88d045027,cual corrupcion? usa datos.,1,0,1,0,0
spa_70c3ee245a1c8860b9c90752f3405fe6,cualquier judio q se prepare para tal cosa,0,0,0,0,0
spa_c8f52e1560e805b8762b65a76bdfef1c,cualquiera podia votar por la curul afro o indigena.,0,0,0,0,0
spa_69aef7c5ffe249d4798c9d6f2b0331fe,"cuando llamo a un taxi lo hago a lo ""indio"", como cuando saludan con la mano. soy la unica?",0,0,0,0,0
spa_b44324f4bcb464d4021f08e5dadb8d1b,cuando los que dicen que zelensky es nazi se enteren de que es judio lo van a flipar.,0,0,0,0,0
spa_a719cd0c2a95f7e1cc89b11f41de256e,"cuando vinieron a llevarse a los judios,
no proteste,
ya que no era judio,",0,0,0,0,0
spa_1956353393371154758e84cc8fd884de,"cuenta x eliminada
el saludo nazi fue lo ultimo que pudo soportar el sobrino de dos deportados a mathausen_gusen",0,0,0,0,0
spa_7e456dc211dcf781a3d9f77ae4ba8837,"de hecho, hemos asumido que no ser corrupto o corrupta es ser de izquierdas.
que no. que escandinavia es menos corrupta, no mas progresista.",1,1,0,0,0
spa_537cfc41a5f339ea48b6773cebf7d729,debe de ser un termino judio-catalan.,0,0,0,0,0
spa_650811bf159e2f8c1bbe58cb42572ded,debleena sinha india awesome,0,0,0,0,0
spa_8a1a80fea9940b44bfc10548f29f92e6,"decir ""viene de la india"" es tan correcto como decir ""viene de india"". #nohagaeloso",0,0,0,0,0
spa_b8454036477f13085b876aa744f16a5e,"deja tu los abusos sexuales, el genocidio indigena que hasta hace pocos anos era legal",0,0,0,0,0
spa_7c72fa9453cb3007bd7bd261e24f238f,"del pascual quiere la leche, zorra, que te aproveche",0,0,0,0,1
spa_4b575d22bab86b93d04164ae9701810d,delta india charlie kilo,0,0,0,0,0
spa_2c40c2237af2587b5377052bb19f2ab6,denle bimba en fila india,0,0,0,0,0
spa_fe0f7253dddbc0b9d674240004b31f01,dentro de cien anos haran un dia de accion de gracias a lo judio y arreglau.,0,0,0,0,0
spa_aedffdbfcb30317c2a8bbfe8e9372cb5,derecho a abortar en 9 meses?,0,0,0,0,0
spa_dee438d98a73b10414e3967f6d5d1da3,desde #cooperaccio - organizacion feminista parte de la red europea de oidhaco publico un informe muy util con una aproximacion feminista a la debida diligencia,0,0,0,0,0
spa_43e27879c922cbf409310ae4318aaa90,"desde 2020, las muertes maternas por aborto bajaron un 53%. el aborto y los metodos anticonceptivos salvan vidas y garantizan decidir libremente.",0,0,0,0,0
spa_ffabeafc40d9c1b2b311f411ce0a31d2,desde el mar hasta el rio vencera el pueblo judio!! am israel jai!!,0,1,0,0,0
spa_84027a5e21b897e9be9fcbce02b709f0,dia de la raza o dia de la resistencia indigena?,0,0,0,0,0
spa_9410fd93044bae28a6dbb3ef0bd7f2bb,dia negro en la historia feminista,0,0,0,0,0
spa_3f531e07ef3a3d4632716a453a8f1533,"diosdado cabello recibe en persona al primer grupo de deportados desde usa.
venezuela /110225",0,0,0,0,0
spa_6cd1bdddfe3531083ce044644850c89d,donde estan los jueces para dilucidar esta trama corrupta del pp?,1,0,0,0,0
spa_dab3d99b0ed3d17faad88a250985cc28,ecuador recibira un avion de eeuu con 80 nacionales deportados a bordo que se encontraban en territorio estadounidense en situacion irregular,0,0,0,0,0
spa_8ebbfc5c0c3f3664dc8a91bf656296a1,eeeee los visuals que esta sirviendo cierta indigena????,0,0,0,0,0
spa_4500e04bdbdbca8656159f68604ecd8d,"efectivamente, lo de que la del aborto era tenia tanto que darte es un invento posterior.",0,0,0,0,0
spa_9fb2a48072bb479319223532e8bf39cc,"ejemplo de corrupcion boludina, todas juntas",0,0,0,0,0
spa_c9946ca25abf0c509cb67b731a94029b,el aborto a nena daconte es lo que pique a shakira,0,0,1,0,1
spa_96a1a3f78371cf50643e51a797d40026,el actual presidente ucraniano es judio,0,0,0,0,0
spa_95fbe24d67d46df41f615f3da2fd23bd,el candidato de la corrupcion.,1,0,0,0,0
spa_9cb1a67eaafe3e430056d665248912cf,el comite de la corrupcion,1,0,0,0,1
spa_e2763795d20a18daaac4c36948854d8e,"el conflicto de hamas tiene base politica no religiosa, frentrealpueblo judio",0,0,0,0,0
spa_8e576b061f11d2880ee4bf871ceb7a1c,el crimen del lider indigena,0,1,0,0,0
spa_2d6c9082768614ed05f2297b4288cd9d,el estado de israel es un estado legitimo. la tierra sagrada pertenece al pueblo judio. dios reinara,0,0,0,0,0
spa_f3d247fdca8ebd9c97023f5be8d8b39a,el esteriotiopo del os judio ses real,0,0,0,0,0
spa_54e4a8ac38a0fba6d0388ca9871cfec6,"el futuro sera colectivo, ateo, feminista, antirracista e inclusivo o no sera.",1,0,1,1,0
spa_3cf38b6bfa6762481fa3462e3d6c30d5,el holocausto judio se entiende a la perfeccion.,1,1,0,0,0
spa_412634f7a24b3213059a920a9f5b836a,el indigena gay narcotraficante,0,1,0,1,0
spa_e04e541ba3a8207b88f767b8442f859d,el indigena mexicano dice zerboni!! #lcdlf2,0,0,0,0,0
spa_22645b08baf098ce68b024aa3b116f9f,"el indio de la avda de kansas city. la ciudad donde estas, esta hermanada con kansas city, usa.",0,0,0,0,0
spa_6b6a2d9dbf6aa1f77d60540940b5b540,el indio en este disco:,0,0,0,0,0
spa_da3ca0775a2d4336f234b308ed342c47,el indio pachu nepe tambien fue comunista.,0,0,0,0,0
spa_cf6e6e499c6c4deb21ffa00694d393d7,"el indio y el lirio
1887
george de forest brush",0,0,0,0,0
spa_a914110d36ed2c7ccf777bf69560c137,el indio! me alegro de que mantengas la costumbre.,0,0,0,0,0
spa_aed60c6402d68e2bcbd6c6f6598b0518,"el judio "" drom , volve el universo para atras, vamos de nuevo""",0,0,0,0,0
spa_1490f832419b1ba3abe6453ffcedac9b,"el judio ""la culpa es de tanor""",0,0,0,0,0
spa_58a4b8bc0a2ab1cd98455e9452ab9d83,"el judio ""volvio a aparecer lo mismo pero no da ningun poder""",0,0,0,0,0
spa_cc82c08f83e6e1c33934ac94e7e988a2,"el judio en china ""que hicieron""
china ""nada""",0,0,0,0,0
spa_c7127187e93261bae9d3ff18f65d2045,"el judio que nacio en la tierra que los judios reclaman como suya
demagogi",0,0,0,0,0
spa_24993ce636f98968ac42e7e0132f33c8,el libero al pueblo judio? gracias,0,0,0,0,0
spa_33ef528290c322b45e52d79aab5ac4af,el los presupuestos lo veremos otra vez haciendo el indio,0,0,0,0,0
spa_03e89148685b38aa25571dfbc1602fe7,"el manga del indio no es real, no puede herirte.
el manga del indio:",0,0,0,0,0
spa_e23b1153cf5468992161a732f48e0e4a,el mundo es de los valientes. indio cobarde no folla/coge/cinga mujer bonita.,0,1,0,0,0
spa_99aa5217cc41d025721ef248cef90cc2,"el nombre indio en el ssid, same",0,0,0,0,0
spa_4ea3b2407f75ddcebd0e55b311429b99,"el otro dia que se ponian a saludar a indio en el otro barrio por el cumpleanos, la puta que los pario",0,1,0,1,1
spa_5ef940ac73ffeed0081f2d2a3e16014f,"el presidente de argentina, javier milei, gana el premio nobel judio 2025 por su apoyo a israel.",0,0,0,0,0
spa_787d3d97bcec20b9e2875837fa68909d,"el que hizo de nino jesus en olga es judio
y jesus que era?",0,1,1,0,0
spa_3b6fe8216074e03330ce63b3954ade44,"el romulo de la sierra indigena, que hermoso.",0,0,0,0,0
spa_bdb705cbf3dc3230dcb0d35644461340,el saquito de india,0,0,0,0,0
spa_0a2924b02bfd7c18fb3dcddf8f13b074,el ultranacionalista poder judio abandona el gobierno israeli por el,0,0,0,0,0
spa_59a0e3eb36b49b9b0b2059a21776234f,elon come to india,0,0,0,0,0
spa_c0d0e8e792856436f69ef69524d8d824,en carne propia uno escarmienta mas. seguro que algunos de los de aqui tiene familiares deportados de estados unidos.,0,0,0,0,0
spa_c402136d800fc134c6acd33819e2d680,"en el aeropuerto de bogota, los colombianos deportados son recibidos con los brazos abiertos en un acto de solidaridad y esperanza.",0,0,0,0,0
spa_88ec466d4515af7c8f4b0624e11cdbdd,en el analisis feminista interseccional encontramos muchas respuestas.,0,0,0,0,0
spa_09ae1d7c5a54684025d737654b560fca,en el dia de su onomastico quiero reivindicar al indio como escritor,0,0,0,0,0
spa_f9ff65ea96a042e1fa56667ed3fde3ae,en estados unidos hay mucha corrupcion !!,1,0,0,0,0
spa_3e339f0ff4925ab1c10aa414530ec6c3,en idioma indigena por favor,0,0,0,0,0
spa_13fe6f8eb02ac75d253588d244da83a5,en la historia real los romanos fueron los que destruyeron jerusalen y exiliaron al pueblo judio.,0,1,0,0,0
spa_cdf372764a53b487423396535edaa386,en la india tambien,0,0,0,0,0
spa_9bdf423011acb4c86cb4b3db098f259d,en las manos del pueblo indigena,0,0,0,0,0
spa_b5a1de438ef10353699452d5675d56e2,"en plan no en india, sino en fila india, cosas del corrector",0,0,0,0,0
spa_49f3e2a80366e273795c9280129c6b2b,en que esta construida sobre un cementerio indio y llena de fantasmas como iker?,0,0,0,0,0
spa_e440288c9fcee422c920786adfbd8119,entonces tu serias el judio que se alegra por las medallas nazis?,0,0,0,0,0
spa_51bca0c4abd393cbf616a593ae5a27b2,"eres igual de machista que un fascista, o un judio. asume tu religion.",1,1,1,1,0
spa_cc2a043b28aceffa0e92643cfc80aae5,eres indigena o chileno?,0,0,0,0,0
spa_3da0a48f0db36f972df8d60d5082c98c,eres un judio hdp zionista das asco,1,1,1,0,0
spa_610fe5c3f7ea68c34fe77399d67ea8eb,"eres un pendejo, mejor una mujer que un judio",0,1,1,1,0
spa_f6cf0cc338cd95a33fbcc9e8493e68c7,es como cuando los antisemitas usan los argumentos de algun judio renegado o de un judio antisionista.,1,1,1,0,0
spa_28d1fd130e19035ead783c2fafa6ea34,es corrupcion o justicia,0,0,0,0,0
spa_21326c471179149b6eb313a254648bc7,"es descorazonador tener una presidenta tan delirante, corrupta y fascista",1,0,0,0,0
spa_2f3e7384b894bb8ec0c4e2732c73437a,"es judio, sionista y subnormal.",0,1,1,0,0
spa_128103970549a53bc9b0a56625aa0e62,es mas sencillo q vaya a la luna en un cohete indio,0,1,0,0,0
spa_35092f597aeed783089a196fd5562f7e,es mi ascendencia indigena,0,0,0,0,0
spa_fd8d54bc9f09c9bb2a1d9cb43f9af266,es miss venezuela o miss india? por los gritos parece mis india. #missvenezuela2022,0,0,0,0,0
spa_9866311fef8dd6f1ac39e2eebf83e45d,"es tremendo igual que el tipo, como tiene dolares, hace lo que quiere con un indio jajaja (da risas, sino fuera tan triste)",0,0,0,0,0
spa_f043fe4fccc54ebcdf905e6a44b474a2,es un apellido de origen judio.,0,0,0,0,0
spa_7fbc9f644196f7f09637191f1efa45b0,"es un orgullo para mi decir que soy peruano, homosexual e indigena",0,0,0,0,0
spa_fda2b8c7f7061a45a8958cdb37b5c01b,esa es la ultraderecha: corrupta y asesina.,1,0,0,0,0
spa_06ca59d1ba3c3d88ce7c1c6de5a2cedc,esa es una gran corrupta.,1,0,0,0,1
spa_9ccd77a7e7c3a96fc50db6aa9c231c9d,"ese violin es judio , no dudes",0,0,0,0,0
spa_12b3d5566e266a22c9740572e9dfea8c,eso es producto de la corrupcion encolombia,1,1,0,0,0
spa_0730e4dca198b9d96aba715ad772c8ec,eso traducido al espanol de su lengua indigena,0,0,0,0,0
spa_2ea75ce78bd7e7d2db4bdad01a7f0278,"esos libros que ""faltan"", cuales son? coinciden con el canon judio cuando jesus estuvo en la tierra?",0,0,0,0,0
spa_33b34940b10fb30322fa68bcd2cdc131,"espero que todos los venecos deportados del norte no vengan a romper las bolas aca.
solo eso te pido javo (?).",1,1,0,0,0
spa_14bd07220a2118d4a0c4ef7fdcf5e36b,espero tengas nietas y no den abasto pa abortar.,0,0,0,0,0
spa_82606b306a764d40915fa2cf3440a957,esta democracia corrupta privatizadora si que es una buena estafa piramidal.,1,0,0,0,0
spa_2d8cd0e6584cb7a771d82605cc1583dc,"esta en contra del aborto de las demas
del suyo, ya tal",0,0,0,0,0
spa_dc7963772536101ca92a5b667fd72d7a,"esta en un punto inexacto entre china, india y las hermanas -stan",0,0,0,0,0
spa_fef4393c08069e7e6c85e8e83cc4fc8f,esta indigena es muy chata!!!,0,0,0,0,0
spa_dc90359a38ec172d6a969b1183b35c5f,esta preciosidad que me ha mercado mi corresponsal filatelico en india,0,0,0,0,0
spa_bb4cab8fb69dd7323af5baa5087cf24e,esta weona esta india,1,1,0,0,0
spa_cf8c1026a4da341505735fc7b7bf103e,"estaas mas chupado que la pipa de un indio!!!!!, tira , anda",0,0,0,0,0
spa_e8cd0d5c55942947fe37906e6de20221,estamos viviendo las consecuencias del paro indigena,0,0,0,0,0
spa_7e29e1610136670af813449d69beed84,este era de la izquierda corrupta ???,1,0,0,0,0
spa_feb35509f38688ddef862420ff3b0c9d,este lugar se llama labios del indio,0,0,0,0,0
spa_6e3680aef56ee2a6fb97b37050e3438d,estoy a nada de faltar la otra semana y decir que soy judio,0,1,1,0,0
